id,name,validfrom,validto
1,East Midlands Ambulance Service NHS Trust,2019-01-01 00:01:00+00,
2,East of England Ambulance Service NHS Trust,2019-01-01 00:01:00+00,
3,Isle of Wight,2019-01-01 00:01:00+00,
4,London Ambulance Service NHS Trust,2019-01-01 00:01:00+00,
5,North East Ambulance Service NHS Foundation Trust,2019-01-01 00:01:00+00,
6,North West Ambulance Service NHS Trust,2019-01-01 00:01:00+00,
7,South Central Ambulance Service NHS Foundation Trust,2019-01-01 00:01:00+00,
8,South East Coast Ambulance Service NHS Foundation Trust,2019-01-01 00:01:00+00,
9,South Western Ambulance Service NHS Foundation Trust,2019-01-01 00:01:00+00,
10,The National Ambulance Service (Irish State),2019-01-01 00:01:00+00,
11,The Northern Ireland Ambulance Service Health and Social Care Trust,2019-01-01 00:01:00+00,
12,The Scottish Ambulance Service,2019-01-01 00:01:00+00,
13,The Welsh Ambulance Services NHS Trust,2019-01-01 00:01:00+00,
14,"The public ambulance services of the Isle of Man, Guernsey and Jersey, and Gibraltar",2019-01-01 00:01:00+00,
15,West Midlands Ambulance Service NHS Foundation Trust,2019-01-01 00:01:00+00,
16,Yorkshire Ambulance Service NHS Trust,2019-01-01 00:01:00+00,
