id,name,tobaccobrand,alcoholbrand,vehiclebrand,iprbrand,goodsbrand,commoditybrand,validfrom,validto,updatedby
1,821,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
2,1839,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
3,57s,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
4,Albany,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
5,Allure,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
6,Amber Leaf,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
7,American Legend,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
8,Arden,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
9,Armada,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
10,Armeec,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
11,Ashford,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
12,Ashima,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
13,Assos International,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
14,Austin,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
15,Avalon,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
16,Baboo Beedis ,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
17,Bahman,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
18,Baileys,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
19,Baisha,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
20,Balmoral,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
21,Basic,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
22,Bastos,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
23,Bayron,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
24,Bayside,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
25,Beaumont,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
26,Bells,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
27,Benson & Hedges,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
28,Berkeley,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
29,Bidis,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
30,Black Devil,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
31,Blend,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
32,Bon,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
33,Bond Street,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
34,Boss,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
35,Brendal,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
36,Brooks,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
37,Business Club,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
38,Business Royals ,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
39,C.K ,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
40,Cabin,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
41,Camel ,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
42,Camellia,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
43,Canary Kingdom,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
44,Capital,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
45,Capri,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
46,Capstan,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
47,Carlton,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
48,Carrolls,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
49,Cartier,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
50,Caster,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
51,Charlie,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
52,Chelsea,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
53,Chesterfield,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
54,Cheveleff,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
55,Chunghwa,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
56,Classic,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
57,Cleopatra,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
58,Club,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
59,Compliment,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
60,Condor,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
61,Consulate,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
62,Cooper,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
63,Coronas,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
64,Corset,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
65,Craven,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
66,Crown,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
67,Cutters Choice,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
68,D & G,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
69,Dallas,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
70,Davidoff,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
71,Desert Gold,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
72,Diaoyutai,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
73,Djarum,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
74,Domingo,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
75,Dorchester ,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
76,Double Happiness,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
77,Drina,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
78,Drum,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
79,Du Maurier,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
80,Ducados,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
81,Dunhill,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
82,E-Lite,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
83,Eastenders,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
84,Eighty Eight ,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
85,Email,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
86,Embassy,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
87,Erinmore,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
88,Esse,t,f,f,f,f,f,2019-01-01 00:01:00+00,,
