id,name,twolettercode,threelettercode,designator,alliance,aviation,sea,land,rail,validfrom,validto
1,Adria Airways,JP,ADR,165,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
2,Aegean Airlines,A3,AEE,390,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
3,Aer Arann,RE,REA,809,,t,f,f,f,2019-01-01 00:00:00+00,
4,Aer Lingus,EI,EIN,53,,t,f,f,f,2019-01-01 00:00:00+00,
5,Aeroflot Russian Airlines,SU,AFL,555,SkyTeam,t,f,f,f,2019-01-01 00:00:00+00,
6,Aerolineas Argentinas,AR,,44,,t,f,f,f,2019-01-01 00:00:00+00,
7,Aeromexico,AM,,139,SkyTeam,t,f,f,f,2019-01-01 00:00:00+00,
8,Air Algerie,AH,,124,,t,f,f,f,2019-01-01 00:00:00+00,
9,Air Astana,KC,KZR,465,,t,f,f,f,2019-01-01 00:00:00+00,
10,Air Berlin,AB,BER,745,Oneworld,t,f,f,f,2019-01-01 00:00:00+00,
11,Air Canada,AC,ACA,14,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
12,Air China,CA,CCA,999,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
13,Air Europa,UX,AEA,996,SkyTeam,t,f,f,f,2019-01-01 00:00:00+00,
14,Air France,AF,AFR,57,SkyTeam,t,f,f,f,2019-01-01 00:00:00+00,
15,Air India,AI,,98,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
16,Air Malta,KM,AMC,643,,t,f,f,f,2019-01-01 00:00:00+00,
17,Air Namibia,SW,,186,,t,f,f,f,2019-01-01 00:00:00+00,
18,Air New Zealand,NZ,ANZ,86,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
19,Air Seychelles,HM,SEY,61,,t,f,f,f,2019-01-01 00:00:00+00,
20,Air Tahiti,VT,,135,,t,f,f,f,2019-01-01 00:00:00+00,
21,Air Zimbabwe,UM,AZW,168,,t,f,f,f,2019-01-01 00:00:00+00,
22,Alaska Airlines,AS,,27,,t,f,f,f,2019-01-01 00:00:00+00,
23,Alitalia,AZ,AZA,55,SkyTeam,t,f,f,f,2019-01-01 00:00:00+00,
24,All Nippon Airways,NH,ANA,205,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
25,American Airlines,AA,AAL,1,Oneworld,t,f,f,f,2019-01-01 00:00:00+00,
26,Arik Air,W3,ARA,725,,t,f,f,f,2019-01-01 00:00:00+00,
27,Asiana Airlines,OZ,AAR,988,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
28,Atlantic Airways,RC,FLI,767,,t,f,f,f,2019-01-01 00:00:00+00,
29,Aurigny,GR,,924,,t,f,f,f,2019-01-01 00:00:00+00,
30,Austrian Airlines,OS,AUA,257,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
31,Avianca,AV,AVA,134,,t,f,f,f,2019-01-01 00:00:00+00,
32,Azerbaijan Hava Yollary,J2,,771,,t,f,f,f,2019-01-01 00:00:00+00,
33,Bangkok Airways,PG,,829,,t,f,f,f,2019-01-01 00:00:00+00,
34,Blue1,KF,BLF,142,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
35,British Airways,BA,BAW,125,Oneworld,t,f,f,f,2019-01-01 00:00:00+00,
36,Brussels Airlines,SN,,82,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
37,Bulgaria Air,FB,LZB,623,,t,f,f,f,2019-01-01 00:00:00+00,
38,Cathay Pacific,CX,CPA,160,Oneworld,t,f,f,f,2019-01-01 00:00:00+00,
39,Czech Airlines,OK,,64,SkyTeam,t,f,f,f,2019-01-01 00:00:00+00,
40,China Airlines,CI,CAL,297,SkyTeam,t,f,f,f,2019-01-01 00:00:00+00,
41,China Eastern Airlines,MU,CES,781,SkyTeam,t,f,f,f,2019-01-01 00:00:00+00,
42,China Southern Airlines,CZ,CSN,784,SkyTeam,t,f,f,f,2019-01-01 00:00:00+00,
43,Croatia Airlines,OU,CTN,831,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
44,Cyprus Airways,CY,CYP,,48,t,f,f,f,2019-01-01 00:00:00+00,
45,Delta Air Lines,DL,DAL,6,SkyTeam,t,f,f,f,2019-01-01 00:00:00+00,
46,Eastern Airways,T3,EZE,,,t,f,f,f,2019-01-01 00:00:00+00,
47,Egyptair,MS,MSR,77,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
48,El Al Israel Airlines,LY,ELY,114,,t,f,f,f,2019-01-01 00:00:00+00,
49,Emirates,EK,,176,,t,f,f,f,2019-01-01 00:00:00+00,
50,Estonian Air,OV,ELL,960,,t,f,f,f,2019-01-01 00:00:00+00,
51,Ethiopian Airlines,ET,ETH,71,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
52,Etihad Airways,EY,ETD,607,,t,f,f,f,2019-01-01 00:00:00+00,
53,Eva Air,BR,,695,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
54,Finnair,AY,FIN,105,Oneworld,t,f,f,f,2019-01-01 00:00:00+00,
55,Flybe,BE,BEE,267,,t,f,f,f,2019-01-01 00:00:00+00,
56,Garuda Indonesia,GA,GIA,126,SkyTeam,t,f,f,f,2019-01-01 00:00:00+00,
57,Gulf Air,GF,GFA,72,,t,f,f,f,2019-01-01 00:00:00+00,
58,HAHN Air,HR,,169,,t,f,f,f,2019-01-01 00:00:00+00,
59,Hong Kong Airlines,HX,CRK,851,,t,f,f,f,2019-01-01 00:00:00+00,
60,Iberia,IB,,75,Oneworld,t,f,f,f,2019-01-01 00:00:00+00,
61,Icelandair,FI,ICE,108,,t,f,f,f,2019-01-01 00:00:00+00,
62,Japan Airlines,JL,JAL,131,Oneworld,t,f,f,f,2019-01-01 00:00:00+00,
63,Jet Airways,9W,JAI,589,,t,f,f,f,2019-01-01 00:00:00+00,
64,Kenya Airways,KQ,KQA,706,SkyTeam,t,f,f,f,2019-01-01 00:00:00+00,
65,KLM Royal Dutch Airlines,KL,,74,SkyTeam,t,f,f,f,2019-01-01 00:00:00+00,
66,Korean Air,KE,KAL,180,SkyTeam,t,f,f,f,2019-01-01 00:00:00+00,
67,Kuwait Airways,KU,KAC,229,,t,f,f,f,2019-01-01 00:00:00+00,
68,LAN Colombia,LA,,45,Oneworld,t,f,f,f,2019-01-01 00:00:00+00,
69,LOT - Polish Airlines,LO,,80,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
70,Lufthansa,LH,DLH,220,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
71,Luxair,LG,LGL,149,,t,f,f,f,2019-01-01 00:00:00+00,
72,Malaysia Airlines,MH,MAS,232,Oneworld,t,f,f,f,2019-01-01 00:00:00+00,
73,Middle East Airlines,ME,MEA,76,SkyTeam,t,f,f,f,2019-01-01 00:00:00+00,
74,Meridiana,IG,,191,,t,f,f,f,2019-01-01 00:00:00+00,
75,Mexicana,MX,,132,Oneworld,t,f,f,f,2019-01-01 00:00:00+00,
76,Monarch Airlines,ZB,,974,,t,f,f,f,2019-01-01 00:00:00+00,
77,Northwest Airlines,NW,,,,t,f,f,f,2019-01-01 00:00:00+00,
78,Norwegian Air Shuttle,DY,NAX,328,,t,f,f,f,2019-01-01 00:00:00+00,
79,Olympic Air,OA,OAL,50,,t,f,f,f,2019-01-01 00:00:00+00,
80,Oman Air,WY,OMA,910,,t,f,f,f,2019-01-01 00:00:00+00,
81,Rossiya-Russia Airlines,FV,,195,,t,f,f,f,2019-01-01 00:00:00+00,
82,Qantas Airways,QF,,81,Oneworld,t,f,f,f,2019-01-01 00:00:00+00,
83,Qatar Airways,QR,QTR,157,Oneworld,t,f,f,f,2019-01-01 00:00:00+00,
84,Royal Air Maroc,AT,RAM,147,,t,f,f,f,2019-01-01 00:00:00+00,
85,Royal Brunei Airlines,BI,RBA,672,,t,f,f,f,2019-01-01 00:00:00+00,
86,Royal Jordanian,RJ,RJA,512,Oneworld,t,f,f,f,2019-01-01 00:00:00+00,
87,Siberia Airlines,S7,,421,Oneworld,t,f,f,f,2019-01-01 00:00:00+00,
88,Saudi Arabian Airlines,SV,,65,,t,f,f,f,2019-01-01 00:00:00+00,
89,Scandinavian Airlines System (SAS),SK,,117,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
90,Singapore Airlines,SQ,SIA,618,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
91,South African Airways,SA,SAA,83,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
92,Spanair,JK,,680,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
93,SriLankan Airlines,UL,ALK,603,Oneworld,t,f,f,f,2019-01-01 00:00:00+00,
94,SWISS International Air Lines,LX,,724,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
95,TAM Airlines,JJ,,957,Oneworld,t,f,f,f,2019-01-01 00:00:00+00,
96,TAP Portugal,TP,TAP,47,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
97,Tarom,RO,ROT,281,SkyTeam,t,f,f,f,2019-01-01 00:00:00+00,
98,Thai Airways International,TG,THA,217,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
99,Transaero Airlines,UN,TSO,670,,t,f,f,f,2019-01-01 00:00:00+00,
100,Tunisair,TU,TAR,199,,t,f,f,f,2019-01-01 00:00:00+00,
101,Turkish Airlines,TK,THY,235,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
102,Ukraine International Airlines,PS,AUI,566,,t,f,f,f,2019-01-01 00:00:00+00,
103,United Airlines,UA,UAL,16,Star Alliance,t,f,f,f,2019-01-01 00:00:00+00,
104,US Airways,US,AWE,37,Oneworld,t,f,f,f,2019-01-01 00:00:00+00,
105,Uzbekistan Airways,HY,UZB,250,,t,f,f,f,2019-01-01 00:00:00+00,
106,Vietnam Airlines,VN,HVN,738,SkyTeam,t,f,f,f,2019-01-01 00:00:00+00,
107,Virgin Atlantic Airways,VS,VIR,932,,t,f,f,f,2019-01-01 00:00:00+00,
108,VLM Airlines (Cityjet),VG,,,,t,f,f,f,2019-01-01 00:00:00+00,
109,PO Ferries,,,,,f,t,f,f,2019-01-01 00:00:00+00,
110,Brittany Ferries,,,,,f,t,f,f,2019-01-01 00:00:00+00,
111,Stena Line,,,,,f,t,f,f,2019-01-01 00:00:00+00,
112,Condor Ferries,,,,,f,t,f,f,2019-01-01 00:00:00+00,
113,DFDS Seaways,,,,,f,t,f,f,2019-01-01 00:00:00+00,
114,Irish Ferries,,,,,f,t,f,f,2019-01-01 00:00:00+00,
115,Eurotunnel,,,,,f,f,f,t,2019-01-01 00:00:00+00,
116,ACL,,,,,f,t,f,f,2019-01-01 00:00:00+00,
117,ANL,,,,,f,t,f,f,2019-01-01 00:00:00+00,
118,APL,,,,,f,t,f,f,2019-01-01 00:00:00+00,
119,BG Freight,,,,,f,t,f,f,2019-01-01 00:00:00+00,
120,Celtic Link,,,,,f,t,f,f,2019-01-01 00:00:00+00,
121,China Shipping,,,,,f,t,f,f,2019-01-01 00:00:00+00,
122,CMA CGM,,,,,f,t,f,f,2019-01-01 00:00:00+00,
123,Cobelfret,,,,,f,t,f,f,2019-01-01 00:00:00+00,
124,COSCO,,,,,f,t,f,f,2019-01-01 00:00:00+00,
125,CSAV,,,,,f,t,f,f,2019-01-01 00:00:00+00,
126,CSAV Norasia,,,,,f,t,f,f,2019-01-01 00:00:00+00,
127,DAL,,,,,f,t,f,f,2019-01-01 00:00:00+00,
128,DART LINE,,,,,f,t,f,f,2019-01-01 00:00:00+00,
129,Delmas,,,,,f,t,f,f,2019-01-01 00:00:00+00,
130,ECL,,,,,f,t,f,f,2019-01-01 00:00:00+00,
131,Eimskip,,,,,f,t,f,f,2019-01-01 00:00:00+00,
132,EUCON,,,,,f,t,f,f,2019-01-01 00:00:00+00,
133,EUROSTAR,,,,,f,f,f,t,2019-01-01 00:00:00+00,
134,Evergreen,,,,,f,t,f,f,2019-01-01 00:00:00+00,
135,EWS,,,,,f,t,f,f,2019-01-01 00:00:00+00,
136,Grimaldi,,,,,f,t,f,f,2019-01-01 00:00:00+00,
137,Hamburg Sud,,,,,f,t,f,f,2019-01-01 00:00:00+00,
138,Hanjin,,,,,f,t,f,f,2019-01-01 00:00:00+00,
139,Hapag-Lloyd,,,,,f,t,f,f,2019-01-01 00:00:00+00,
140,HMM,,,,,f,t,f,f,2019-01-01 00:00:00+00,
141,Hugo Stinnes,,,,,f,t,f,f,2019-01-01 00:00:00+00,
142,K-Line,,,,,f,t,f,f,2019-01-01 00:00:00+00,
143,LDL,,,,,f,t,f,f,2019-01-01 00:00:00+00,
144,MacAndrews,,,,,f,t,f,f,2019-01-01 00:00:00+00,
145,Maersk,,,,,f,t,f,f,2019-01-01 00:00:00+00,
146,MISC,,,,,f,t,f,f,2019-01-01 00:00:00+00,
147,MOL,,,,,f,t,f,f,2019-01-01 00:00:00+00,
148,MSC,,,,,f,t,f,f,2019-01-01 00:00:00+00,
149,NL,,,,,f,t,f,f,2019-01-01 00:00:00+00,
150,NYK,,,,,f,t,f,f,2019-01-01 00:00:00+00,
151,OOCL,,,,,f,t,f,f,2019-01-01 00:00:00+00,
152,OPDR,,,,,f,t,f,f,2019-01-01 00:00:00+00,
153,OTAL,,,,,f,t,f,f,2019-01-01 00:00:00+00,
154,lPIL,,,,,f,t,f,f,2019-01-01 00:00:00+00,
155,Private vessel,,,,,f,t,f,f,2019-01-01 00:00:00+00,
156,Safmarine,,,,,f,t,f,f,2019-01-01 00:00:00+00,
157,Samskip,,,,,f,t,f,f,2019-01-01 00:00:00+00,
158,SCI,,,,,f,t,f,f,2019-01-01 00:00:00+00,
159,Sea France,,,,,f,t,f,f,2019-01-01 00:00:00+00,
160,SEA-RO,,,,,f,t,f,f,2019-01-01 00:00:00+00,
161,Seatrade,,,,,f,t,f,f,2019-01-01 00:00:00+00,
162,Shippers own,,,,,f,t,f,f,2019-01-01 00:00:00+00,
163,Speed Ferries,,,,,f,t,f,f,2019-01-01 00:00:00+00,
164,TERMINALCO,,,,,f,t,f,f,2019-01-01 00:00:00+00,
165,TMF,,,,,f,t,f,f,2019-01-01 00:00:00+00,
166,Transeuropa,,,,,f,t,f,f,2019-01-01 00:00:00+00,
167,Turkon,,,,,f,t,f,f,2019-01-01 00:00:00+00,
168,Unifeeder,,,,,f,t,f,f,2019-01-01 00:00:00+00,
169,United Arab Shipping,,,,,f,t,f,f,2019-01-01 00:00:00+00,
170,US Lines,,,,,f,t,f,f,2019-01-01 00:00:00+00,
171,Vogt & Maguire,,,,,f,t,f,f,2019-01-01 00:00:00+00,
172,WEC,,,,,f,t,f,f,2019-01-01 00:00:00+00,
