id,currency,currency code,countryid,validfrom,validto
1,Dirham,AED,{233},,
2,Lek,ALL,{3},,
3,Dram,AMD,{12},,
4,Readj Kwanza,AOA,{7},,
5,Peso,ARS,{11},,
6,Dollar,AUD,{14},,
7,Florin,AWG,{13},,
8,New Manat,AZN,{16},,
9,Marka,BAM,{29},,
10,Dollar,BBD,{20},,
11,Taka,BDT,{19},,
12,Lev,BGN,{36},,
13,Dinar,BHD,{18},,
14,Franc,BIF,{38},,
15,Dollar (US),BMD,{25},,
16,Dollar,BND,{35},,
17,Boliviano,BOB,{27},,
18,Real,BRL,{32},,
19,Dollar,BSD,{17},,
20,Ngultrum,BTN,{26},,
21,Pula,BWP,{30},,
22,Rouble,BYN,{21},,
23,Dollar,BZD,{23},,
24,Dollar,CAD,{42},,
25,Congo Fr,CDF,{64},,
26,Franc,CHF,{216},,
27,Peso,CLP,{46},,
28,Yuan,CNY,{47},,
29,Peso,COP,{52},,
30,Colon,CRC,{56},,
31,Peso,CUP,{58},,
32,Escudo,CVE,{39},,
33,Koruna,CZK,{61},,
34,Franc,DJF,{66},,
35,Krone,DKK,{65},,
36,Peso,DOP,{68},,
37,Dinar,DZD,{4},,
38,Dollar,ECS,{69},,
39,Pound,EGP,{70},,
40,Nakfa,ERN,{73},,
41,Birr,ETB,{75},,
42,Euro,EUR,"{15,22,60,87,208,80,90,110,113,130,131,124,137,155,175,202,201}",,
43,Euro,EUR,{22},,2019-10-19 23:59:00+00
44,Euro,EUR,{60},,2019-10-19 23:59:00+00
45,Euro,EUR,{87},,2019-10-19 23:59:00+00
46,Euro,EUR,{208},,2019-10-19 23:59:00+00
47,Euro,EUR,{80},,2019-10-19 23:59:00+00
48,Euro,EUR,{90},,2019-10-19 23:59:00+00
49,Euro,EUR,{110},,2019-10-19 23:59:00+00
50,Euro,EUR,{113},,2019-10-19 23:59:00+00
51,Euro,EUR,{130},,2019-10-19 23:59:00+00
52,Euro,EUR,{131},,2019-10-19 23:59:00+00
53,Euro,EUR,{124},,2019-10-19 23:59:00+00
54,Euro,EUR,{137},,2019-10-19 23:59:00+00
55,Euro,EUR,{155},,2019-10-19 23:59:00+00
56,Euro,EUR,{175},,2019-10-19 23:59:00+00
57,Euro,EUR,{202},,2019-10-19 23:59:00+00
58,Euro,EUR,{201},,2019-10-19 23:59:00+00
59,Dollar,FJD,{78},,
60,Pound,GBP,{234},,
61,Lari,GEL,{86},,
62,Cedi,GHS,{88},,
63,Dalasi,GMD,{85},,
64,Franc,GNF,{97},,
65,Quetzal,GTQ,{95},,
66,Dollar,GYD,{99},,
67,Dollar,HKD,{48},,
68,Lempira,HNL,{103},,
69,Kuna,HRK,{57},,
70,Gourde,HTG,{100},,
71,Forint,HUF,{104},,
72,Rupiah,IDR,{107},,
73,Shekel,ILS,{112},,
74,Rupee,INR,{106},,
75,Dinar,IQD,{109},,
76,Krona,ISK,{105},,
77,Dollar,JMD,{114},,
78,Dinar,JOD,{117},,
79,Yen,JPY,{115},,
80,Schilling,KES,{119},,
81,Som,KGS,{122},,
82,Riel,KHR,{40},,
83,Franc,KMF,{53},,
84,Won,KRW,{178},,
85,Dinar,KWD,{121},,
86,Dollar,KYD,{43},,
87,Tenge,KZT,{118},,
88,Kip,LAK,{123},,
89,Pound,LBP,{125},,
90,Rupee,LKR,{209},,
91,Dollar (US),LRD,{127},,
92,Loti,LSL,{126},,
93,Dinar,LYD,{128},,
94,Dirham,MAD,{149},,
95,Leu,MDL,{179},,
96,Malagasy Ariary,MGA,{132},,
97,Denar,MKD,{220},,
98,Kyat,MMK,{151},,
99,Tugrik,MNT,{146},,
100,Pataca,MOP,{49},,
101,Ouguiya,MRO,{140},,
102,Rupee,MUR,{141},,
103,Rufiyaa,MVR,{135},,
104,Kwacha,MWK,{133},,
105,Mexican Peso,MXN,{143},,
106,Ringgit,MYR,{134},,
107,Metical,MZN,{150},,
108,Naira,NGN,{160},,
109,Gold Cordoba,NIO,{158},,
110,Norwegian Krone,NOK,{164},,
111,Rupee,NPR,{154},,
112,Dollar,NZD,{157},,
113,Rial,OMR,{165},,
114,Balboa,PAB,{168},,
115,New Sol,PEN,{171},,
116,Kina,PGK,{169},,
117,Peso,PHP,{172},,
118,Rupee,PKR,{166},,
119,Zloty,PLN,{174},,
120,Guarani,PYG,{170},,
121,Riyal,QAR,{177},,
122,New Leu,RON,{180},,
123,Dinar,RSD,{196},,
124,Rouble,RUB,{181},,
125,Franc,RWF,{182},,
126,Riyal,SAR,{194},,
127,Dollar,SBD,{203},,
128,Rupee,SCR,{197},,
129,Pound,SDG,{211},,
130,Krona,SEK,{215},,
131,Dollar,SGD,{199},,
132,Leone,SLL,{198},,
133,Schilling,SOS,{204},,
134,Dollar,SRD,{212},,
135,Dobra,STD,{193},,
136,Colon,SVC,{71},,
137,Lilangeni,SZL,{214},,
138,Baht,THB,{219},,
139,New Manat,TMT,{228},,
140,Dinar,TND,{226},,
141,Pa'anga (AUS),TOP,{224},,
142,Turkish  Lira,TRY,{227},,
143,Dollar,TTD,{225},,
144,Dollar,TWD,{1},,
145,Schilling,TZS,{235},,
146,Hryvnia,UAH,{232},,
147,Schilling,UGX,{231},,
148,Dollar,USD,{238},,
149,Peso,UYU,{239},,
150,Sum,UZS,{240},,
151,Bolivar Fuerte,VEF,{242},,
152,Dong,VND,{243},,
153,Vatu,VUV,{241},,
154,Tala,WST,{191},,
155,Central African CFA Franc,XAF,"{44,54,41,84,72,45}",,
156,CFA Franc,XAF,{54},,2019-10-19 23:59:00+00
157,CFA Franc,XAF,{41},,2019-10-19 23:59:00+00
158,CFA Franc,XAF,{84},,2019-10-19 23:59:00+00
159,CFA Franc,XAF,{72},,2019-10-19 23:59:00+00
160,CFA Franc,XAF,{45},,2019-10-19 23:59:00+00
161,E Caribbean Dollar,XCD,"{10,67,92,186,187,148,190}",,
162,E Caribbean Dollar,XCD,{67},,2019-10-19 23:59:00+00
163,E Caribbean Dollar,XCD,{92},,2019-10-19 23:59:00+00
164,E Caribbean Dollar,XCD,{186},,2019-10-19 23:59:00+00
165,E Caribbean Dollar,XCD,{187},,2019-10-19 23:59:00+00
166,E Caribbean Dollar,XCD,{148},,2019-10-19 23:59:00+00
167,E Caribbean Dollar,XCD,{190},,2019-10-19 23:59:00+00
168,West African CFA Franc,XOF,"{37,24,62,98,136,159,195,222,156,82,244}",,
169,CFA Franc,XOF,{24},,2019-10-19 23:59:00+00
170,CFA Franc,XOF,{62},,2019-10-19 23:59:00+00
171,CFA Franc,XOF,{98},,2019-10-19 23:59:00+00
172,CFA Franc,XOF,{136},,2019-10-19 23:59:00+00
173,CFA Franc,XOF,{159},,2019-10-19 23:59:00+00
174,CFA Franc,XOF,{195},,2019-10-19 23:59:00+00
175,CFA Franc,XOF,{222},,2019-10-19 23:59:00+00
176,CFP Franc,XPF,{156},,2019-10-19 23:59:00+00
177,CFP Franc,XPF,{82},,2019-10-19 23:59:00+00
178,CFP Franc,XPF,{244},,2019-10-19 23:59:00+00
179,Rial,YER,{246},,
180,Rand,ZAR,{205},,
181,Kwacha,ZMW,{247},,
182,Dollar,ZWL,{248},,
