id,route,carrierid,validfrom,validto
1,Belfast - Birkenhead,,2019-01-01 00:01:00+00,
2,Belfast - Heysham,,2019-01-01 00:01:00+00,
3,Belfast - Stranraer,,2019-01-01 00:01:00+00,
4,Bergen - Newcastle,,2019-01-01 00:01:00+00,
5,Bilbao - Poole,,2019-01-01 00:01:00+00,
6,Bilbao - Portsmouth,,2019-01-01 00:01:00+00,
7,Birkenhead - Belfast,,2019-01-01 00:01:00+00,
8,Birkenhead - Dublin,,2019-01-01 00:01:00+00,
9,Boulogne - Dover,,2019-01-01 00:01:00+00,
10,Bremerhaven - Immingham,,2019-01-01 00:01:00+00,
11,Caen - Portsmouth,,2019-01-01 00:01:00+00,
12,Cairnryan - Larne,,2019-01-01 00:01:00+00,
13,Calais - Dover,,2019-01-01 00:01:00+00,
14,Cherbourg - Plymouth,,2019-01-01 00:01:00+00,
15,Cherbourg - Poole,,2019-01-01 00:01:00+00,
16,Cherbourg - Portsmouth,,2019-01-01 00:01:00+00,
17,Cheriton Coquelles,,2019-01-01 00:01:00+00,
18,Coquelles - Cheriton,,2019-01-01 00:01:00+00,
19,Cork - Swansea,,2019-01-01 00:01:00+00,
20,Cuxhaven - Immingham,,2019-01-01 00:01:00+00,
21,Dagenham - Vlissingen,,2019-01-01 00:01:00+00,
22,Dieppe - Newhaven,,2019-01-01 00:01:00+00,
23,Dover - Boulogne,,2019-01-01 00:01:00+00,
24,Dover - Calais,,2019-01-01 00:01:00+00,
25,Dover - Dunkirk,,2019-01-01 00:01:00+00,
26,Dublin - Birkenhead,,2019-01-01 00:01:00+00,
27,Dublin - Heysham,,2019-01-01 00:01:00+00,
28,Dublin - Holyhead,,2019-01-01 00:01:00+00,
29,Dublin - Liverpool,,2019-01-01 00:01:00+00,
30,Dunkirk - Dover,,2019-01-01 00:01:00+00,
31,DunLaoghaire - Holyhead,,2019-01-01 00:01:00+00,
32,Esbjerg - Harwich,,2019-01-01 00:01:00+00,
33,Esjberg - Immingham,,2019-01-01 00:01:00+00,
34,Esjberg - Purfleet,,2019-01-01 00:01:00+00,
35,Europoort - Harwich,,2019-01-01 00:01:00+00,
36,Europoort - Hull,,2019-01-01 00:01:00+00,
37,Europoort - Teesport,,2019-01-01 00:01:00+00,
38,Felixstowe - Rotterdam,,2019-01-01 00:01:00+00,
39,Felixstowe - Vlaardingen,,2019-01-01 00:01:00+00,
40,Fishguard - Rosslare,,2019-01-01 00:01:00+00,
41,Fleetwood - Larne,,2019-01-01 00:01:00+00,
42,Goteborg - Immingham,,2019-01-01 00:01:00+00,
43,Goteborg - Tilbury,,2019-01-01 00:01:00+00,
44,Guernsey - Poole,,2019-01-01 00:01:00+00,
45,Guernsey - Portsmouth,,2019-01-01 00:01:00+00,
46,Guernsey - Weymouth,,2019-01-01 00:01:00+00,
47,Harwich - Esbjerg,,2019-01-01 00:01:00+00,
48,Harwich - Europoort,,2019-01-01 00:01:00+00,
