id,gender,validfrom,validto,updatedby
1,male,2019-01-01 00:01:00+00,,
2,female,2019-01-01 00:01:00+00,,
3,agender,2019-01-01 00:01:00+00,,
4,androgyne,2019-01-01 00:01:00+00,,
5,bi-gender,2019-01-01 00:01:00+00,,
6,genderfluid,2019-01-01 00:01:00+00,,
7,genderflux,2019-01-01 00:01:00+00,,
8,nonbinary,2019-01-01 00:01:00+00,,
9,polygender,2019-01-01 00:01:00+00,,
10,transgender,2019-01-01 00:01:00+00,,
11,two-spirit,2019-01-01 00:01:00+00,,
12,vaguegender,2019-01-01 00:01:00+00,,
13,X-gender,2019-01-01 00:01:00+00,,
14,XTX,2019-01-01 00:01:00+00,,
15,FTM,2019-01-01 00:01:00+00,,
16,MTF,2019-01-01 00:01:00+00,,
