id,name,twolettercode,threelettercode,validfrom,validto
1,Abkhazian,ab,abk,,
2,Acholi,,,,
3,Afar,aa,aar,,
4,Afrikaans,af,afr,,
5,Akan,ak,aka,,
6,Akim,,,,
7,Akpafu,,,,
8,Akuapem,,,,
9,Albanian,sq,sqi,,
10,Algerian,,,,
11,Amharic,am,amh,,
12,Anyuak,,,,
13,Arabic,ar,ara,,
14,Arabic-Maghrebi,,,,
15,Arabic-Middle Eastern,,,,
16,Arabic-North African,,,,
17,Arabic-Sudanese,,,,
18,Aragonese,an,arg,,
19,Armenian,hy,hye,,
20,Armenian-Eastern,,,,
21,Armenian-Western,,,,
22,Ashanti,,,,
23,Assamese,as,asm,,
24,Assyrian,,,,
25,Avaric,av,ava,,
26,Avestan,ae,ave,,
27,Aymara,ay,aym,,
28,Azerbaijani,az,aze,,
29,Azeri-North,,,,
30,Azeri-South,,,,
31,Badnani,,,,
32,Balochi,,,,
33,Bambara,bm,bam,,
34,Basa,,,,
35,Bashkir,ba,bak,,
36,Basque,eu,eus,,
37,Belarusian,be,bel,,
38,Bemba,,,,
39,Benadiri,,,,
40,Bengali,bn,ben,,
41,Berber,,,,
42,Bihari languages,bh,bih,,
43,Bilen,,,,
44,Bislama,bi,bis,,
45,Bosnian,bs,bos,,
46,Bravanese,,,,
47,Breton,br,bre,,
48,Brong,,,,
49,Buem,,,,
50,Bulgarian,bg,bul,,
51,Burmese,my,mya,,
52,Cantonese,,,,
53,"Catalan, Valencian",ca,cat,,
54,Cebuano,,,,
55,Central Khmer,km,khm,,
56,Chagga,,,,
57,Chaldean-Neo Aramaic,,,,
58,Chamorro,ch,cha,,
59,Chaozhou,,,,
60,Chechen,ce,che,,
61,Chewa,,,,
62,Chichewa,,,,
63,"Chichewa, Chewa, Nyanja",ny,nya,,
64,Chinese,zh,zho,,
65,Chinese-Taiwanese,,,,
66,Chinyanja,,,,
67,"Church Slavic, Old Slavonic, Church Slavonic, Old Bulgarian, Old Church Slavonic",cu,chu,,
68,Chuvash,cv,chv,,
69,Cornish,kw,cor,,
70,Corsican,co,cos,,
71,Cree,cr,cre,,
72,Creole,,,,
73,Creole-Mauritian,,,,
74,Creole-Sierra Leone,,,,
75,Croatian,hr,hrv,,
76,Czech,cs,ces,,
77,Dagbani,,,,
78,Danish,da,dan,,
79,Dari,,,,
80,Davaweno,,,,
81,Deafblind,,,,
82,Dhivehi,,,,
83,Dinka-North Eastern,,,,
84,Dinka-South Eastern,,,,
85,Dioula,,,,
86,"Divehi, Dhivehi, Maldivian",dv,div,,
87,Dogri,,,,
88,Dutch,,,,
89,"Dutch, Flemish",nl,nld,,
90,Dzongkha,dz,dzo,,
91,Ebo,,,,
92,Edo,,,,
93,English,en,eng,,
94,Esan,,,,
95,Esperanto,eo,epo,,
96,Estonian,et,est,,
97,Ewe,ee,ewe,,
98,Ewe (Anlo),,,,
99,Fanti (Gha),,,,
100,Faroese,fo,fao,,
101,Farsi,,,,
102,Fijian,fj,fij,,
103,Filipino,,,,
104,Finnish,fi,fin,,
105,Flemish,,,,
106,French,fr,fra,,
107,French North African,,,,
108,Fuchow,,,,
109,Fujian,,,,
110,Fukienese,,,,
111,Fula (Sle),,,,
112,Fulah,ff,ful,,
113,Fulani,,,,
114,Fuliiru Kifulero,,,,
115,Fulla,,,,
116,Ga (Gha),,,,
