id,type,ien,validfrom,validto
1,Horse box,f,,
2,Hot air balloon,f,,
3,Pedal cycle,f,,
4,Motorcycle,f,,
5,Mobility vehicle,f,,
6,Car,t,,
7,Campervan,t,,
8,Minibus,t,,
9,Coach,t,,
10,Lorry,f,,
11,Tractor unit,f,,
12,Industrial vehicle,f,,
13,Small water craft,f,,
14,Yacht,f,,
15,Boat,f,,
16,Ship,f,,
17,Helicopter,f,,
18,Plane,f,,
19,Train (freight),t,,
20,Train (passenger),t,,
21,Transporter (i.e. vehicle),t,,
22,Container,t,,
23,Drone,f,,
24,Small van (car size),f,,
25,Medium van (transit size),f,,
26,Large van,f,,
27,7.5T van,t,,
28,7.5T soft-sided,t,,
29,HGV canvas sided,t,,
30,HGV flatbed,t,,
31,HGV hard-sided,t,,
32,HGV refrigerated,t,,
33,HGV tanker,t,,
34,Road train,t,,
35,Unaccompanied trailer (hard),t,,
36,Bulk Carrier (Canvas covered),t,,
37,Airship,f,,
38,Glider,f,,
39,Hand glider,f,,
40,Mircolight,f,,
41,Gyroplane,f,,
42,Business jet,f,,
43,Single engine light aircraft,f,,
44,Twin engine light aircraft,f,,
45,Other unspecified aircraft,f,,
46,Cruise liner,f,,
47,General cargo,f,,
48,Ferry,f,,
49,Fishing board,f,,
50,Reefer,f,,
51,Support vessel (e.g. tug),f,,
52,Sea Tanker,f,,
53,Car & Trailer,t,,
54,Transit type van,t,,
55,Coach & Trailer,t,,
56,Glass Carrier,t,,
57,Motorhome,t,,
58,Motorhome & Trailer,t,,
59,Unaccompanied trailer (soft),t,,
60,Van & Trailer,t,,
61,Van (other),t,,
