id,name,validfrom,validto,updatedby
1,Bulk tipper,2019-01-01 00:01:00+00,,
2,Car transporter,2019-01-01 00:01:00+00,,
3,Coil carrier,2019-01-01 00:01:00+00,,
4,Container,2019-01-01 00:01:00+00,,
5,Curtain-sided,2019-01-01 00:01:00+00,,
6,Drag trailer,2019-01-01 00:01:00+00,,
7,Flatbed,2019-01-01 00:01:00+00,,
8,Glass carrier,2019-01-01 00:01:00+00,,
9,Hard-sided,2019-01-01 00:01:00+00,,
10,Low loader,2019-01-01 00:01:00+00,,
11,Refrigerated (FRC invalid),2019-01-01 00:01:00+00,,
12,Refrigerated (FRC valid),2019-01-01 00:01:00+00,,
13,Tanker,2019-01-01 00:01:00+00,,
14,Tilt,2019-01-01 00:01:00+00,,
15,Caravan,2019-01-01 00:01:00+00,,
16,Small trailer,2019-01-01 00:01:00+00,,
