id,area,validfrom,validto,updatedby
1,Accompanied Freight,2019-01-01 00:01:00+00,,
2,Cargo,2019-01-01 00:01:00+00,,
3,Coaches,2019-01-01 00:01:00+00,,
4,Coastline,2019-01-01 00:01:00+00,,
5,Commercial Vehicles,2019-01-01 00:01:00+00,,
6,Containerised Freight,2019-01-01 00:01:00+00,,
7,Seizure Channel,2019-01-01 00:01:00+00,,
8,Courier Mail,2019-01-01 00:01:00+00,,
9,Crew Control,2019-01-01 00:01:00+00,,
10,Enhanced Remote Transit Shed,2019-01-01 00:01:00+00,,
11,Inland,2019-01-01 00:01:00+00,,
12,Fast Parcel,2019-01-01 00:01:00+00,,
13,Freight,2019-01-01 00:01:00+00,,
14,General Aviation,2019-01-01 00:01:00+00,,
15,Maritime,2019-01-01 00:01:00+00,,
16,On Board,2019-01-01 00:01:00+00,,
17,Parcel Post,2019-01-01 00:01:00+00,,
18,Passenger,2019-01-01 00:01:00+00,,
19,Private Vehicles,2019-01-01 00:01:00+00,,
20,Royal Mail,2019-01-01 00:01:00+00,,
21,Tarmac,2019-01-01 00:01:00+00,,
22,Unaccompanied Freight,2019-01-01 00:01:00+00,,
